index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM
0,308,-44,16220,-2576,-378,32,-192,9155,198,234,183,965
1,192,-24,16292,-2576,-627,-184,-195,9152,198,234,183,965
2,260,-172,16268,-2576,-409,-87,-185,9155,198,234,183,965
3,408,-100,16272,-2560,-398,-151,-197,9154,198,234,183,965
4,420,-256,16432,-2560,-403,-11,-181,9141,198,234,183,965
5,268,-48,16232,-2560,-458,-30,-209,9120,198,234,183,965
6,348,-136,16256,-2544,-432,-115,-200,9117,198,234,183,965
7,288,-200,16236,-2592,-393,-28,-169,9117,198,234,183,965
8,340,-232,16184,-2512,-496,-28,-169,9117,198,234,183,965
9,9215,-25601,26403,13067,-19443,-15094,3,768,198,234,183,965
10,308,-144,16312,-2560,-257,75,-179,9112,198,234,183,965
11,284,68,16312,-2592,-327,77,-180,9107,198,234,184,965
12,308,-64,16228,-2544,-400,74,-168,9105,198,234,183,965
13,356,-240,16440,-2560,-411,44,-182,9105,198,234,183,965
14,328,-120,16364,-2544,-429,2,-191,9108,198,234,183,965
15,292,-92,16228,-2528,-329,68,-193,9108,198,234,183,965
16,544,-208,16296,-2560,-409,-48,-196,9109,198,234,183,965
17,536,-184,16236,-2528,-387,6,-194,9101,198,234,183,965
18,460,-184,16304,-2544,-391,-17,-183,9099,198,234,183,965
19,408,-220,16432,-2496,-456,-17,-183,9099,198,234,183,965
20,-15,-191,9095,2912,3371,2733,965,0,190,234,183,965
21,404,-312,16272,-2528,-338,40,-209,9093,198,234,183,965
